,START_LATITUDE,START_LONGITUDE
524,44.05567,-68.05497
525,44.10315,-67.88087
526,44.1628,-67.89048
527,44.24582,-67.91978
528,44.21873,-67.88205
529,44.25547,-67.8197
530,44.34998,-67.99373
531,42.96312,-70.50385
532,44.4683,-67.83085
533,44.31628,-67.52985
534,44.4275,-67.44237
535,44.5854,-67.3033
536,44.62545,-67.17223
537,42.99843,-70.49197
538,42.91122,-70.54472
539,43.17568,-70.43718
540,43.14127,-70.39387
541,43.16223,-70.28128
542,43.3931,-70.12047
543,43.41978,-70.29168
544,43.50288,-70.35162
545,43.55147,-70.28497
546,43.5023,-70.20673
547,43.77398,-70.03913
548,43.66093,-69.96473
549,42.87352,-70.5598
550,43.69512,-69.8969
551,43.54888,-69.90073
552,43.6017,-69.87338
553,43.6948,-69.74783
554,43.65918,-69.74447
555,43.74725,-69.69592
556,42.93712,-70.74353
557,43.68315,-69.51225
558,43.76767,-69.4853
559,43.8268,-69.48985
560,43.7385,-69.41063
561,43.76533,-69.35542
562,43.7538,-69.20933
563,43.77648,-69.18233
564,43.96653,-69.13987
565,44.29745,-68.96707
566,44.25812,-69.00072
567,42.98288,-70.65973
568,44.13732,-68.96527
569,43.8249,-69.04438
570,43.61313,-68.94018
571,43.85387,-68.62478
572,43.76847,-68.72287
573,43.77428,-68.78533
574,43.8908,-68.79355
575,43.91338,-68.75448
576,42.89238,-70.43755
577,44.10618,-68.77242
578,44.15278,-68.78873
579,44.18762,-68.76087
580,44.30055,-68.49762
581,43.97462,-68.54847
582,43.94295,-68.57763
583,43.93165,-68.44923
584,44.00142,-68.38892
585,44.06388,-68.12458
586,44.05798,-68.05455
587,44.00607,-68.30143
588,44.43975,-68.2328
589,44.4574,-68.22713
590,44.44145,-68.16387
591,44.37253,-68.1696
592,44.2848,-68.13032
593,44.25737,-68.13282
594,44.16365,-67.81662
595,43.02943,-70.4451
596,44.21552,-67.7593
597,44.47222,-67.8338
598,44.2643,-67.80602
599,44.30433,-67.68377
600,44.28775,-67.62388
601,44.5837,-67.45293
602,44.59938,-67.43645
603,44.58925,-67.2961
604,44.51248,-67.45008
605,44.49432,-67.4348
606,43.08273,-70.45283
607,43.07835,-70.52085
608,42.95242,-70.64688
609,43.16943,-70.4413
610,43.16312,-70.3108
611,43.55187,-70.28275
612,43.50108,-70.34808
613,43.42303,-70.28948
614,43.39547,-70.25067
615,43.43183,-70.22053
616,42.8912,-70.60727
617,43.49023,-70.21178
618,43.61165,-69.86067
619,43.59137,-69.94907
620,43.70628,-70.17897
621,43.76333,-70.08225
622,43.70175,-69.86883
623,43.66742,-69.84795
624,42.89978,-70.68687
625,43.74505,-69.74116
626,43.7649,-69.69803
627,43.737,-69.66373
628,43.68517,-69.65658
629,43.82757,-69.48802
630,43.76298,-69.50522
631,43.7505,-69.432
632,43.69507,-69.51135
633,43.57193,-69.63093
634,42.93647,-70.74683
635,43.77322,-69.18077
636,43.77143,-69.11715
637,43.79877,-69.07487
638,44.28097,-68.85493
639,44.25558,-68.90297
640,44.13242,-68.94602
641,44.15128,-69.01705
642,44.23647,-68.97873
643,44.11992,-69.0525
644,42.98135,-70.66407
645,43.77767,-68.7155
646,43.7813,-68.637
647,43.74165,-68.63407
648,43.78463,-68.66343
649,43.93502,-68.77335
650,43.91453,-68.75512
651,44.10335,-68.77237
652,44.14093,-68.7614
653,43.9222,-68.58328
654,43.88298,-68.4619
655,42.98918,-70.49757
656,43.91987,-68.40627
657,44.15348,-68.54553
658,44.01963,-68.39332
659,43.99182,-68.31085
660,43.9426,-68.28512
661,44.01528,-68.2478
662,44.04202,-68.26622
663,44.27697,-68.4672
664,44.30812,-68.46977
665,44.24088,-68.45495
666,42.95278,-70.36683
667,44.35643,-68.16862
668,44.41905,-68.1892
669,44.43518,-68.15637
670,44.3819,-68.11633
671,44.31628,-68.1318
672,44.28657,-68.13127
673,44.10947,-68.00042
674,44.19183,-67.96925
675,44.24632,-67.918
676,43.0653,-70.41388
677,44.29095,-67.79897
678,44.16653,-67.8088
679,44.20438,-67.77248
680,44.31762,-67.5935
681,44.25672,-67.66623
682,44.29198,-67.51308
683,44.31402,-67.52567
684,44.48912,-67.78183
685,44.47003,-67.83148
686,44.50262,-67.69963
687,43.15372,-70.37805
688,44.52045,-67.44755
689,44.58625,-67.30272
690,44.41667,-67.45858
691,42.93792,-70.74328
692,43.1972,-70.51543
693,43.22188,-70.57015
694,43.30297,-70.4956
695,43.25292,-70.14643
696,43.35583,-70.08582
697,43.40633,-70.09068
698,43.48968,-70.19118
699,43.43158,-70.27873
700,43.48108,-69.96477
701,42.86988,-70.74083
702,43.55208,-69.91668
703,43.61168,-69.86073
704,43.76318,-70.08045
705,43.66185,-70.08118
706,43.6497,-70.00947
707,43.65933,-69.95233
708,43.70092,-69.93762
709,43.79283,-69.69658
710,43.76625,-69.69932
711,43.71122,-69.82012
712,42.90707,-70.67815
713,43.69983,-69.74627
714,43.63447,-69.7509
715,43.62713,-69.71253
716,43.76557,-69.48083
717,43.73708,-69.4978
718,43.68217,-69.5134
719,43.63057,-69.47657
720,43.61538,-69.55132
721,43.77217,-69.18107
722,42.87993,-70.6057
723,43.8115,-69.07092
724,43.80008,-69.04603
725,44.2263,-68.8568
726,44.3005,-68.79297
727,44.31012,-68.87815
728,44.20485,-68.9925
729,44.25167,-69.00467
730,44.13117,-69.04048
731,43.64547,-69.13292
732,43.55845,-69.13947
733,42.91868,-70.56038
734,43.60605,-69.06427
735,43.6063,-69.94735
736,43.90505,-68.75692
737,43.76885,-68.65353
738,43.7391,-68.63143
739,43.91682,-68.77573
740,44.13382,-68.7561
741,44.1869,-68.73755
742,43.83287,-68.51662
743,43.87583,-68.39948
744,42.98858,-70.50262
745,43.91342,-68.41885
746,43.98835,-68.44193
747,44.36033,-68.53443
748,44.38855,-68.52867
749,44.25763,-68.4407
750,44.01608,-68.20225
751,44.0617,-68.0498
752,44.13347,-68.13308
753,44.44855,-68.24193
754,44.44592,-68.16915
755,43.01922,-70.45457
756,44.36018,-68.16292
757,44.28473,-68.13232
758,44.22277,-68.13298
759,44.19732,-67.80188
760,44.16655,-67.76738
761,44.46427,-67.85473
762,44.33365,-67.61787
763,44.29905,-67.69938
764,44.3476,-67.71618
765,44.3134,-67.52632
766,44.30027,-67.49773
767,44.2461,-67.48428
768,44.28927,-67.62123
769,44.28828,-67.66387
770,44.64035,-67.3202
771,44.59745,-67.43785
772,42.95255,-70.49747
773,42.96282,-70.64532
774,43.197,-70.51407
775,43.1851,-70.53993
776,43.26965,-70.56955
777,43.29988,-70.24782
778,43.28772,-70.10752
779,43.4008,-70.1262
780,43.44603,-70.10098
781,43.4488,-70.19183
782,43.37027,-70.20753
783,42.9507,-70.66868
784,43.42472,-70.28778
785,43.50273,-70.34932
786,43.5275,-70.28117
787,43.45938,-70.04595
788,43.51873,-70.02862
789,43.56452,-69.92347
790,43.65655,-70.08943
791,43.66567,-70.1459
792,43.60178,-69.87282
793,43.71258,-69.80025
794,42.87798,-70.6787
795,43.73212,-69.72747
796,43.56278,-69.78192
797,43.71037,-69.74382
798,43.58185,-69.6237
799,43.61207,-69.54957
800,43.63243,-69.54413
801,43.83168,-69.4869
802,43.79855,-69.07292
803,43.83097,-69.06648
804,42.9289,-70.75225
805,43.96622,-69.14387
806,44.10995,-69.01815
807,44.15398,-69.04863
808,44.23503,-68.98295
809,44.21682,-69.03928
810,44.17458,-69.01588
811,43.92358,-68.785283
812,43.91218,-68.75462
813,43.77268,-68.72297
814,43.77082,-68.65028
815,43.07917,-70.41403
816,43.79918,-68.62673
817,43.93817,-68.58767
818,43.90822,-68.57045
819,43.9365,-68.55352
820,43.99027,-68.44163
821,44.3531,-68.45698
822,44.32498,-68.46983
823,44.29273,-68.47807
824,43.95497,-68.34603
825,43.12137,-70.27128
826,43.9557,-68.2355
827,44.00632,-68.20607
828,44.22993,-68.1336
829,44.28717,-68.1306
830,44.46628,-68.24382
831,44.442,-68.16428
832,44.39163,-68.1164
833,44.32705,-68.13275
834,44.05613,-68.05728
835,44.26097,-67.8158
836,42.94153,-70.36463
837,44.16805,-67.74363
838,44.23302,-67.73733
839,44.297,-67.76342
840,44.49125,-67.78498
841,44.46337,-67.85492
842,44.35762,-67.71898
843,44.37025,-67.66912
844,44.41085,-67.58755
845,44.32395,-67.49908
846,44.29942,-67.49613
847,43.15128,-70.3825
848,44.24852,-67.4807
849,44.29997,-67.40297
850,44.58788,-67.29183
851,44.51545,-67.45562
852,44.5188,-67.396
853,43.19208,-70.41248
854,42.93247,-70.70838
855,43.02588,-70.39057
856,43.00573,-70.34373
857,43.04543,-70.35823
858,43.1645,-70.28008
859,43.20112,-70.29562
860,43.15455,-70.37883
861,43.26135,-70.34547
862,43.23535,-70.51803
863,43.28962,-70.51318
864,43.32013,-70.51962
865,42.91283,-70.79753
866,43.3925,-70.12087
867,43.4535,-70.18432
868,43.40652,-70.23827
869,43.52028,-70.30702
870,43.48018,-69.9488
871,43.53682,-69.9134
872,43.63815,-70.17063
873,43.64968,-70.00857
874,43.70102,-69.93893
875,43.66097,-69.86653
876,42.93652,-70.74752
877,43.61198,-69.86087
878,43.55915,-69.78773
879,43.62593,-69.71113
880,43.79467,-69.70008
881,43.7007,-69.74785
882,43.70783,-69.6921
883,43.78253,-69.64105
884,43.60955,-69.5482
885,43.69257,-69.51182
886,42.98478,-70.6536
887,43.66565,-69.4439
888,43.74763,-69.40723
889,43.82058,-69.48985
890,43.7641,-69.50187
891,43.75562,-69.21
892,43.77638,-69.14708
893,43.8178,-69.10727
894,43.85738,-69.08283
895,43.8759,-69.03818
896,44.18055,-68.92865
897,43.04877,-70.46863
898,44.22575,-68.8584
899,44.2655,-68.78855
900,44.29267,-68.7892
901,44.19147,-69.0299
902,43.72227,-69.09505
903,43.60883,-69.06023
904,43.55857,-69.05077
905,43.61055,-68.93892
906,43.93397,-68.7859
907,44.10413,-68.7731
908,42.98882,-70.45473
909,44.1347,-68.75695
910,44.18003,-68.76837
911,44.20958,-68.43847
912,44.30453,-68.47023
913,44.38902,-68.44858
914,44.3908,-68.49703
915,43.93772,-68.36318
916,43.90258,-68.28787
917,43.96273,-68.2316
918,42.8874,-70.54012
919,44.03008,-68.30152
920,44.04043,-68.26428
921,44.03813,-68.21985
922,44.1809,-68.02067
923,44.0771,-68.04052
924,44.05413,-68.05973
925,44.12078,-68.12453
926,44.14565,-68.1125
927,44.29877,-68.13035
928,44.36043,-68.16342
929,42.94557,-70.6082
930,44.43968,-68.2219
931,44.45893,-68.20748
932,44.43455,-68.17208
933,44.27013,-67.87585
934,44.49985,-67.70197
935,44.27263,-67.57628
936,44.19192,-67.71975
937,44.1649,-67.74083
938,44.2313,-67.78455
939,44.29382,-67.51047
940,42.91007,-70.64555
941,44.29033,-67.4152
942,44.39757,-67.52565
943,44.42492,-67.5626
944,44.5146,-67.27357
945,44.52998,-67.29402
946,44.58803,-67.30303
947,44.5921,-67.45183
948,44.59088,-67.36718
949,44.6972,-66.99487
950,44.76717,-66.9747
951,42.94033,-70.66058
952,43.28837,-70.53223
953,43.2021,-70.4091
954,43.15408,-70.37957
955,43.06317,-70.46053
956,43.1644,-70.27735
957,43.23438,-70.2124
958,43.39757,-70.12318
959,43.51285,-70.19217
960,42.91317,-70.64128
961,43.42255,-70.22857
962,43.50377,-70.35195
963,43.53208,-70.26377
964,43.51743,-70.24075
965,43.54908,-69.96438
966,43.50907,-70.11703
967,43.54098,-69.8728
968,43.5607666,-69.7845
969,43.58042,-69.84628
970,42.93513,-70.74645
971,43.60097,-69.87247
972,43.66615,-69.90788
973,43.71185,-69.69232
974,43.73783,-69.73825
975,43.6978,-69.74838
976,43.65868,-69.81033
977,43.62512,-69.7144
978,43.78685,-69.64738
979,43.6826,-69.51273
980,43.61983,-69.40638
981,43.75453,-69.36032
982,43.71873,-69.45335
983,43.81897,-69.52815
984,43.83782,-69.48415
985,43.82043,-69.34965
986,43.76212,-69.21283
987,43.74548,-69.17042
988,43.77472,-69.15308
989,43.88638,-69.22805
990,42.9416,-70.45175
991,44.18182,-69.02042
992,44.25717,-68.78738
993,44.24422,-68.71963
994,44.29395,-68.75408
995,44.29543,-68.96822
996,43.85258,-69.06005
997,43.58167,-69.0826
998,43.60972,-68.94223
999,43.61478,-68.85023
1000,43.67957,-68.85778
1001,42.92557,-70.50698
1002,43.90747,-68.75755
1003,43.89535,-68.6722
1004,43.85228,-68.62605
1005,43.78513,-68.65913
1006,43.85313,-68.73875
1007,44.14697,-68.75983
1008,44.1543,-68.78627
1009,43.90375,-68.36913
1010,44.05573,-68.39327
1011,44.01262,-68.39428
1012,42.97825,-70.516
1013,44.34588,-68.53927
1014,44.39073,-68.49515
1015,44.36988,-68.44577
1016,44.04055,-68.26532
1017,43.9983,-68.09865
1018,43.99458,-68.05595
1019,44.02223,-67.99077
1020,44.22805,-68.13298
1021,44.12893,-68.0071
1022,44.15075,-67.90928
1023,43.19713,-70.54535
1024,44.18815,-68.02987
1025,44.26607,-68.0254
1026,44.28517,-68.13085
1027,44.44842,-68.15785
1028,44.43828,-68.24313
1029,44.36757,-68.16723
1030,44.24707,-67.91765
1031,44.19792,-67.76477
1032,44.36998,-67.6704
1033,44.34367,-67.7535
1034,43.26973,-70.57185
1035,44.46157,-67.85507
1036,44.34795,-67.50877
1037,44.27687,-67.50478
1038,44.28,-67.56985
1039,44.4257,-67.15408
1040,44.59352,-67.45217
1041,42.93445,-70.52753
1042,43.18572,-70.58178
1043,43.23973,-70.5749
1044,43.30755,-70.49438
1045,43.23635,-70.51707
1046,43.21373,-70.40165
1047,43.15673,-70.26588
1048,43.19123,-70.22215
1049,43.39658,-70.08043
1050,43.44932,-70.18278
1051,42.88882,-70.61062
1052,43.41193,-70.23197
1053,43.42172,-70.27438
1054,43.5033,-70.3646
1055,43.71043,-70.17545
1056,43.67605,-70.14388
1057,43.65115,-70.00655
1058,43.65785,-69.9113
1059,43.7825,-70.02205
1060,43.56968,-69.95832
1061,43.50555,-70.00193
1062,42.8843,-70.6754
1063,43.51065,-69.92933
1064,43.50665,-69.88067
1065,43.57308,-69.80845
1066,43.68965,-69.65628
1067,43.62523,-69.5984
1068,43.61745,-69.40783
1069,43.66357,-69.44737
1070,43.72545,-69.51032
1071,43.78653,-69.49222
1072,43.76857,-69.38855
1073,42.94207,-70.72045
1074,43.8537,-69.28163
1075,43.75317,-69.14545
1076,43.73325,-69.0766
1077,43.76972,-69.17785
1078,43.84935,-69.28467
1079,44.21328,-69.008
1080,44.2972,-68.76967
1081,44.3233,-68.86567
1082,44.25737,-68.89453
1083,44.21685,-68.90352
1084,42.9827,-70.66328
1085,43.80672,-69.04357
1086,43.63797,-69.14127
1087,43.57697,-69.03762
1088,43.53742,-68.96237
1089,43.61465,-68.85008
1090,43.93313,-68.77757
1091,43.88612,-68.68482
1092,43.83702,-68.54832
1093,43.74257,-68.63588
1094,43.76603,-68.72355
1095,42.97575,-70.40602
1096,43.98737,-68.74915
1097,44.1027,-68.77302
1098,44.16995,-68.79645
1099,43.87818,-68.3911
1100,43.895,-68.29753
1101,43.9503,-68.23943
1102,44.07055,-68.12573
1103,44.0503,-68.25238
1104,44.35365,-68.53742
1105,44.38875,-68.51905
1106,43.03773,-70.41093
1107,44.28197,-68.13098
1108,44.22703,-68.13382
1109,44.18622,-67.97252
1110,44.43638,-68.21335
1111,44.40303,-68.2136
1112,44.35895,-68.16695
1113,44.15735,-67.79963
1114,44.1841,-67.8274
1115,44.22897,-67.89993
1116,43.12172,-70.3508
1117,44.39397,-67.6926
1118,44.3306,-67.67132
1119,44.32005,-67.53107
1120,44.2808,-67.63638
1121,44.26243,-67.67807
1122,44.48723,-67.65023
1123,44.50185,-67.70052
1124,44.4992,-67.77682
1125,44.51723,-67.52088
1126,44.48342,-67.50658
1127,44.4989,-67.42132
1128,44.52385,-67.31242
1129,44.5416,-67.19362
1130,44.37637,-67.14113
1131,44.38915,-67.09485
